TrialIndex,GoodSelection,TrialType,IsStim,HasAnalysisWindow,VisualStimOnS,VisualStimOffS,ElectricalStimOnRelVisualS,AnalysisDurationS,SampleRateHz,Condition,SignedCoherence,Direction,Response,LeftCandidateCount,RightCandidateCount,MicrosaccadeCount,MicrosaccadeRateHz
251,1,NonStim,0,1,796.542,797.515966666667,NaN,0.973999999999933,1000.00000002365,4,-1,-1,1,14,5,2,2.05338809034922
253,1,NonStim,0,1,802.834233333333,803.810166666667,NaN,0.975999999999885,1000.00000002365,1,-0.3636,-1,1,15,4,2,2.04918032786909
255,1,Stim,1,1,807.668766666667,808.6426,-0.0639666666667154,0.974000000000046,1000.00000002365,3,-0.4545,-1,1,12,8,1,1.02669404517449
256,1,Stim,1,1,810.960833333333,811.947,-0.0617666666666992,0.986999999999966,1000.00000002365,1,1,1,1,15,5,1,1.01317122593722
257,1,NonStim,0,1,814.136633333333,815.136233333333,NaN,1,1000.00000002365,3,-0.6363,-1,1,10,7,2,2
258,1,Stim,1,1,817.437333333333,818.4043,-0.0562666666666019,0.966999999999985,1000.00000002365,4,-0.3636,-1,0,16,4,2,2.0682523267839
259,1,Stim,1,1,820.728333333333,821.714366666667,-0.0567666666667037,0.98599999999999,1000.00000002365,1,-0.6363,-1,0,14,5,1,1.01419878296147
260,1,Stim,1,1,824.0455,825.019933333333,-0.0499999999999545,0.973999999999933,1000.00000002365,4,0.0909,1,0,13,2,1,1.02669404517461
261,1,NonStim,0,1,827.263866666667,828.238533333333,NaN,0.975000000000023,1000.00000002365,1,0.3636,1,1,16,6,2,2.051282051282
262,1,NonStim,0,1,830.630833333333,831.5962,NaN,0.966000000000008,1000.00000002365,2,-0.4545,-1,0,13,6,4,4.14078674948237
263,1,NonStim,0,1,833.8304,834.815533333333,NaN,0.985000000000014,1000.00000002365,2,-0.1818,-1,1,14,8,0,0
264,1,Stim,1,1,837.131133333333,838.1004,-0.0533666666666477,0.969000000000051,1000.00000002365,4,-0.4545,-1,0,10,6,4,4.12796697626397
265,1,Stim,1,1,840.4651,841.4255,-0.0657333333332417,0.959999999999923,1000.00000002365,2,0.4545,1,1,8,10,2,2.0833333333335
268,1,Stim,1,1,848.7499,849.723666666667,-0.0570000000000164,0.973999999999933,1000.00000002365,4,-0.1818,-1,0,14,2,1,1.02669404517461
269,1,NonStim,0,1,852.125266666667,853.090533333333,NaN,0.965000000000032,1000.00000002365,3,0.1818,1,0,15,8,2,2.07253886010356
270,1,NonStim,0,1,855.509466666667,856.486333333333,NaN,0.976999999999975,1000.00000002365,3,0.6363,1,1,10,6,2,2.04708290685778
271,1,Stim,1,1,858.6597,859.628766666667,-0.0581333333332168,0.969000000000051,1000.00000002365,4,0.4545,1,1,13,5,2,2.06398348813199
272,1,Stim,1,1,861.9933,862.961266666667,-0.0645999999999276,0.967999999999961,1000.00000002365,3,0.0909,1,1,10,8,4,4.13223140495884
273,1,NonStim,0,1,865.518933333333,866.502933333333,NaN,0.983999999999924,1000.00000002365,4,0.4545,1,1,12,6,2,2.03252032520341
275,1,NonStim,0,1,871.828666666667,872.804366666667,NaN,0.975999999999999,1000.00000002365,3,1,1,1,18,10,3,3.07377049180328
276,1,Stim,1,1,875.153133333333,876.1376,-0.0597333333332699,0.983999999999924,1000.00000002365,2,-0.1818,-1,0,17,5,1,1.0162601626017
277,1,Stim,1,1,878.512233333333,879.498933333333,-0.0511000000000195,0.98599999999999,1000.00000002365,3,0.3636,1,1,16,7,1,1.01419878296147
278,1,Stim,1,1,881.821566666667,882.7873,-0.0733666666667432,0.966000000000008,1000.00000002365,2,0.6363,1,0,13,12,4,4.14078674948237
279,1,NonStim,0,1,885.130366666667,886.095833333333,NaN,0.965000000000032,1000.00000002365,3,0.4545,1,1,17,7,3,3.10880829015534
280,1,NonStim,0,1,888.4306,889.405,NaN,0.974999999999909,1000.00000002365,3,-0.0909,-1,0,15,6,1,1.02564102564112
