TrialIndex,TrialType,IsStim,Condition,SignedCoherence,ElectricalStimOnRelVisualS,EventNumberInTrial,DetectionSource,OnsetRelVisualStimS,OffsetRelVisualStimS,OnsetRelElectricalStimS,DurationMs,LeftAmplitudeDeg,RightAmplitudeDeg,MeanAmplitudeDeg,LeftPeakVelocityDegS,RightPeakVelocityDegS,PeakVelocityDegS,MeanDXDeg,MeanDYDeg,DirectionDeg,InterocularOnsetLagMs,InterocularDirectionDiffDeg
43,NonStim,0,1,0.1818,NaN,2,Left,0.606666666666683,0.611666666666679,NaN,6.00000000002865,0.0420609341478352,NaN,0.0420609341478352,8.66656059941255,NaN,8.66656059941255,-0.0398934194864107,-0.0133280629901644,198.474049440706,NaN,NaN
44,Stim,1,4,0.0909,-0.0491666666666504,1,Left,0.363533333333351,0.370533333333356,0.412700000000001,8.0000000000382,0.0717513297728505,NaN,0.0717513297728505,9.48692711223394,NaN,9.48692711223394,0.0265956276686417,-0.0666402724565508,291.756567489315,NaN,NaN
45,Stim,1,3,-0.3636,-0.0595333333333485,1,Right,0.581500000000005,0.595499999999987,0.641033333333354,15.0000000000716,NaN,0.15327253633226,0.15327253633226,NaN,12.4120576598573,12.4120576598573,0,-0.15327253633226,270,NaN,NaN
46,Stim,1,2,-1,-0.0520333333333554,1,Right,0.738033333333306,0.743033333333329,0.790066666666661,6.00000000002865,NaN,0.0595778451688464,0.0595778451688464,NaN,11.0976433499823,11.0976433499823,-0.0265955724602523,0.0533122421257492,116.512969253143,NaN,NaN
46,Stim,1,2,-1,-0.0520333333333554,2,Left,0.787033333333312,0.792033333333308,0.839066666666668,6.00000000002865,0.0485065648757085,NaN,0.0485065648757085,8.00357822868831,NaN,8.00357822868831,-0.0132978128302382,0.0466482047883224,105.911044408748,NaN,NaN
46,Stim,1,2,-1,-0.0520333333333554,3,Left,0.934033333333332,0.941033333333309,0.986066666666687,8.0000000000382,0.0333201555763427,NaN,0.0333201555763427,7.84472934330196,NaN,7.84472934330196,0,0.0333201555763427,90,NaN,NaN
47,NonStim,0,3,0.0909,NaN,1,Left,0.0435333333333006,0.048533333333296,NaN,6.00000000002865,0.0507338773205686,NaN,0.0507338773205686,8.66655811640054,NaN,8.66655811640054,0.0199467174937641,-0.0466482022076143,293.151496091527,NaN,NaN
47,NonStim,0,3,0.0909,NaN,2,Left,0.615533333333303,0.620533333333299,NaN,6.00000000002865,0.0446225213736166,NaN,0.0446225213736166,8.66655595473616,NaN,8.66655595473616,0.0398934386246687,0.0199920726398906,26.6171373844975,NaN,NaN
48,Stim,1,4,-1,-0.0570000000000164,1,Right,0.882233333333318,0.887233333333313,0.939233333333334,6.00000000002865,NaN,0.0569215820362544,0.0569215820362544,NaN,11.0976492084036,11.0976492084036,-0.0199467164214875,0.0533122406723897,110.513281082455,NaN,NaN
50,NonStim,0,2,-0.6363,NaN,1,Right,0.540866666666659,0.545866666666655,NaN,6.00000000002865,NaN,0.10520589481296,0.10520589481296,NaN,18.4555773947162,18.4555773947162,0.0864357313184489,-0.0599762007369641,325.243914210777,NaN,NaN
51,NonStim,0,2,0.6363,NaN,1,Left,0.00839999999999463,0.0153999999999996,NaN,8.0000000000382,0.0333201458486189,NaN,0.0333201458486189,7.84472821749109,NaN,7.84472821749109,0,0.0333201458486189,90,NaN,NaN
51,NonStim,0,2,0.6363,NaN,2,Left,0.0213999999999999,0.0433999999999912,NaN,23.0000000001098,0.0210304749954184,NaN,0.0210304749954184,7.02291080007375,NaN,7.02291080007375,-0.0199467195243476,-0.00666402721707591,198.474029942193,NaN,NaN
51,NonStim,0,2,0.6363,NaN,3,Left,0.0454000000000008,0.0553999999999917,NaN,11.0000000000525,0.0274728340685763,NaN,0.0274728340685763,7.44723229796168,NaN,7.44723229796168,0.00664890601983747,-0.026656118631543,284.005644202874,NaN,NaN
51,NonStim,0,2,0.6363,NaN,4,Left,0.107400000000013,0.118400000000008,NaN,12.0000000000573,0.0388343105201444,NaN,0.0388343105201444,6.47238590924373,NaN,6.47238590924373,-0.0199467178804374,0.0333201458486189,120.906357723568,NaN,NaN
