MIDTableRow,Monkey,ROI,Tetrode,Unit,Population,OriginalCondition2MonoLMaximum,OriginalCondition3MonoRMaximum,StoredAlignedOD,ReconstructedAlignedOD,Valid,SignMatch,DominantEye,OriginalDominantCondition,DecoderCondition2DominantMaximum,DecoderCondition3NonDominantMaximum,PostSwapDominantGreaterOrEqual
441,Jim,FST,1,4,3D,58.6513630235841,69.5845196252023,0.0852581693656055,0.0852581693656055,1,1,Right,3,69.5845196252023,58.6513630235841,1
442,Jim,FST,2,3,2D,24.1303230034505,18.151263419309,-0.141410483617119,-0.141410483617119,1,1,Left,2,24.1303230034505,18.151263419309,1
444,Jim,FST,2,5,2D,18.555923642414,15.090064416847,-0.10300958377155,-0.10300958377155,1,1,Left,2,18.555923642414,15.090064416847,1
446,Jim,FST,3,3,2D,21.7212691287803,22.0312129020537,0.00708402721141437,0.00708402721141437,1,1,Right,3,22.0312129020537,21.7212691287803,1
451,Jim,FST,4,4,3D,22.581980555029,24.918087459189,0.0491811275609289,0.0491811275609289,1,1,Right,3,24.918087459189,22.581980555029,1
454,Jim,FST,1,3,2Donly,32.6093665321088,24.0085967815134,-0.15190885095872,-0.15190885095872,1,1,Left,2,32.6093665321088,24.0085967815134,1
455,Jim,FST,2,3,3D,49.0301692815031,41.6951430987113,-0.0808487288757072,-0.0808487288757072,1,1,Left,2,49.0301692815031,41.6951430987113,1
460,Jim,FST,5,2,2D,43.2645431872827,41.7368892987409,-0.0179720958090095,-0.0179720958090095,1,1,Left,2,43.2645431872827,41.7368892987409,1
470,Jim,FST,1,4,2Donly,20.924115515959,19.7162129641915,-0.0297217713768582,-0.0297217713768582,1,1,Left,2,20.924115515959,19.7162129641915,1
476,Jim,FST,5,2,3D,17.7522009665587,17.8958949822749,0.00403090296666996,0.00403090296666996,1,1,Right,3,17.8958949822749,17.7522009665587,1
478,Jim,FST,6,2,3D,9.80873419051674,9.74522704824201,-0.00324778910519921,-0.00324778910519921,1,1,Left,2,9.80873419051674,9.74522704824201,1
488,Jim,FST,4,2,3D,47.8360336174884,53.340370772827,0.0544033679444084,0.0544033679444084,1,1,Right,3,53.340370772827,47.8360336174884,1
491,Jim,FST,5,4,2D,13.8602650117876,15.5031533846878,0.0559501741492556,0.0559501741492556,1,1,Right,3,15.5031533846878,13.8602650117876,1
494,Jim,FST,8,3,2Donly,26.9063335348633,31.4563645960814,0.077961287036617,0.077961287036617,1,1,Right,3,31.4563645960814,26.9063335348633,1
503,Jim,FST,1,5,3D,6.48765315898391,5.47326658506205,-0.0848084090211218,-0.0848084090211218,1,1,Left,2,6.48765315898391,5.47326658506205,1
510,Jim,FST,4,3,2D,25.6594832782122,21.1471259575385,-0.0964042769675173,-0.0964042769675173,1,1,Left,2,25.6594832782122,21.1471259575385,1
517,Jim,FST,1,5,2D,68.0985582498133,71.4243721692859,0.0238370417642641,0.0238370417642641,1,1,Right,3,71.4243721692859,68.0985582498133,1
523,Jim,FST,1,3,3D,32.8107763115755,31.9324618730872,-0.0135661184567752,-0.0135661184567752,1,1,Left,2,32.8107763115755,31.9324618730872,1
524,Jim,FST,1,4,2D,58.2067796733031,46.5431092787435,-0.111347806773324,-0.111347806773324,1,1,Left,2,58.2067796733031,46.5431092787435,1
528,Jim,FST,2,4,3D,27.3594271912782,27.9636738574931,0.0109221402047247,0.0109221402047247,1,1,Right,3,27.9636738574931,27.3594271912782,1
529,Jim,FST,2,5,2Donly,70.0932570377243,70.5516841394811,0.00325946385216344,0.00325946385216344,1,1,Right,3,70.5516841394811,70.0932570377243,1
532,Jim,FST,4,2,2Donly,8.29795409336374,14.4520714435974,0.270510349108633,0.270510349108633,1,1,Right,3,14.4520714435974,8.29795409336374,1
540,Jim,FST,7,3,3D,22.7047148219681,23.127254310882,0.00921931780170985,0.00921931780170985,1,1,Right,3,23.127254310882,22.7047148219681,1
544,Jim,FST,1,5,3D,5.58572436725608,3.91607269664785,-0.175719567506973,-0.175719567506973,1,1,Left,2,5.58572436725608,3.91607269664785,1
548,Jim,FST,4,2,3D,11.9671340129674,10.5966103300211,-0.0607400820587734,-0.0607400820587734,1,1,Left,2,11.9671340129674,10.5966103300211,1
549,Jim,FST,4,3,3D,11.0860338527773,8.85200339283546,-0.112048665193129,-0.112048665193129,1,1,Left,2,11.0860338527773,8.85200339283546,1
550,Jim,FST,5,2,3D,24.7573564717571,31.6251216377062,0.121806727838668,0.121806727838668,1,1,Right,3,31.6251216377062,24.7573564717571,1
553,Jim,FST,7,2,2D,57.0949463880746,59.1142897987782,0.0173767892894215,0.0173767892894215,1,1,Right,3,59.1142897987782,57.0949463880746,1
554,Jim,FST,7,3,3D,6.30898420042195,7.27842922890956,0.0713487547523091,0.0713487547523091,1,1,Right,3,7.27842922890956,6.30898420042195,1
558,Jim,FST,1,2,3D,30.9303689327212,35.2923407390506,0.0658682169296496,0.0658682169296496,1,1,Right,3,35.2923407390506,30.9303689327212,1
560,Jim,FST,1,4,3D,55.5201709389655,58.1605560929804,0.0232263218484949,0.0232263218484949,1,1,Right,3,58.1605560929804,55.5201709389655,1
564,Jim,FST,3,4,3D,31.2044771648678,32.9797924640153,0.0276596634878363,0.0276596634878363,1,1,Right,3,32.9797924640153,31.2044771648678,1
572,Jim,FST,3,2,2Donly,22.0270196865357,20.0998985128426,-0.045745600581852,-0.045745600581852,1,1,Left,2,22.0270196865357,20.0998985128426,1
