RowIndex,NewSourceRow,RefSourceRow,NewMonkey,NewDate,NewROI,NewStimElec,TuningMeanFullEqual,TuningMeanFullMaxAbsDiff,TuningMeanFullNonNanDiffCount,TuningMeanFullSizeMismatch,TuningMeanFullNoZeroEqual,TuningMeanFullNoZeroMaxAbsDiff,TuningMeanFullNoZeroNonNanDiffCount,TuningMeanFullNoZeroSizeMismatch,TuningMeanFullEdge8Equal,TuningMeanFullEdge8MaxAbsDiff,TuningMeanFullEdge8NonNanDiffCount,TuningMeanFullEdge8SizeMismatch,TuningMeanStimEqual,TuningMeanStimMaxAbsDiff,TuningMeanStimNonNanDiffCount,TuningMeanStimSizeMismatch,TuningMeanStimNoZeroEqual,TuningMeanStimNoZeroMaxAbsDiff,TuningMeanStimNoZeroNonNanDiffCount,TuningMeanStimNoZeroSizeMismatch,TuningMeanStimEdge8Equal,TuningMeanStimEdge8MaxAbsDiff,TuningMeanStimEdge8NonNanDiffCount,TuningMeanStimEdge8SizeMismatch,TuningStimMaxDiff_Combined,TuningStimMaxDiff_MonoL,TuningStimMaxDiff_MonoR,TuningStimMaxDiff_Stereo
93,93,93,Jim,21-Mar-2024,MT,2,0,NaN,NaN,1,0,NaN,NaN,1,0,1.24718342467332,16,0,0,NaN,NaN,1,0,NaN,NaN,1,0,0.34620710872008,1,0,NaN,NaN,NaN,NaN
94,94,94,Jim,26-Mar-2024,MT,5,0,NaN,NaN,1,0,NaN,NaN,1,0,12.376947995835,224,0,0,NaN,NaN,1,0,NaN,NaN,1,0,2.20061199877343,14,0,NaN,NaN,NaN,NaN
95,95,95,Jim,11-Apr-2024,FST,10,0,NaN,NaN,1,0,NaN,NaN,1,0,0.718260065923992,48,0,0,NaN,NaN,1,0,NaN,NaN,1,0,0.718260065923992,3,0,NaN,NaN,NaN,NaN
96,96,96,Jim,16-Apr-2024,MT,9,0,NaN,NaN,1,0,NaN,NaN,1,0,5.14492041088183,144,0,0,NaN,NaN,1,0,NaN,NaN,1,0,1.80465495264544,9,0,NaN,NaN,NaN,NaN
97,97,97,Jim,18-Apr-2024,FST,16,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
98,98,98,Jim,23-Apr-2024,FST,14,0,NaN,NaN,1,0,NaN,NaN,1,0,9.27237139584486,128,0,0,NaN,NaN,1,0,NaN,NaN,1,0,4.38505988364504,8,0,NaN,NaN,NaN,NaN
99,99,99,Jim,25-Apr-2024,MT,13,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
100,100,100,Jim,26-Apr-2024,MT,5,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
101,101,101,Jim,01-May-2024,FST,5,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
102,102,102,Jim,08-May-2024,FST,8,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
103,103,103,Jim,10-May-2024,FST,5,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
104,104,105,Jim,11-Jun-2024,FST,11,0,NaN,NaN,1,0,NaN,NaN,1,0,3.91075521462687,128,0,0,NaN,NaN,1,0,NaN,NaN,1,0,1.80777638234768,8,0,NaN,NaN,NaN,NaN
105,105,106,Jim,12-Jun-2024,FST,4,0,NaN,NaN,1,0,NaN,NaN,1,0,2.44989249758633,32,0,0,NaN,NaN,1,0,NaN,NaN,1,0,1.14984218637953,2,0,NaN,NaN,NaN,NaN
106,106,107,Jim,13-Jun-2024,MT,13,0,NaN,NaN,1,0,NaN,NaN,1,0,2.95037546956,32,0,0,NaN,NaN,1,0,NaN,NaN,1,0,0.569341151169763,2,0,NaN,NaN,NaN,NaN
107,107,108,Jim,14-Jun-2024,FST,11,0,NaN,NaN,1,0,NaN,NaN,1,0,2.21489616467922,32,0,0,NaN,NaN,1,0,NaN,NaN,1,0,0.81252959425759,2,0,NaN,NaN,NaN,NaN
108,108,109,Jim,17-Jun-2024,FST,7,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
109,109,110,Jim,18-Jun-2024,FST,6,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
