WorkbookTableRow,ExcelRow,Date,AssignedROI,HoleX,HoleY,GuideTubeMm,DepthMm,TotalDepthMm,OffsetMLMm,OffsetAPMm,OffsetDVMm,NativeI,NativeJ,NativeK,TargetAtlasLabel,NativeAtlasLabel,NativeCorrect,CurrentSagittalAtlasLabel,CurrentSagittalCorrect,MaximumMatchAtlasLabel,MaximumMatchCorrect,RecommendedAtlasLabel,RecommendedCorrect,RecommendedUmm,RecommendedVmm,RecommendedSignedDistanceMm,RecommendedAbsoluteDistanceMm,WithinOneMmSlab,SiteMultiplicity
98,99,03-Oct-2025,FST,23,26,24,14.7,38.7,0,0,-2,167.8,135.6,64.2,24,24,1,0,0,24,1,24,1,2.59519074902048,2.61471770957318,-0.446690380012608,0.446690380012608,1,1
99,100,08-Oct-2025,MT,20,20,24,6.9,30.9,0,0,0,163,147.2,54.6,25,25,1,25,1,25,1,25,1,-3.28194476685283,-2.66355283125509,-0.644524214037359,0.644524214037359,1,1
100,101,10-Oct-2025,FST,22,26,24,11.9,35.9,0,0,0,166.2,137.2,64.2,24,24,1,24,1,24,1,24,1,2.47349585715769,1.50138280411334,-0.286453862391796,0.286453862391796,1,2
101,102,14-Oct-2025,FST,23,25,24,12,36,0,0,0,167,137,62.6,24,24,1,0,0,24,1,24,1,1.74817775250798,1.88702680174484,-0.654138991487552,0.654138991487552,1,2
102,103,22-Oct-2025,FST,23,25,24,12,36,0,0,0,167,137,62.6,24,24,1,0,0,24,1,24,1,1.74817775250798,1.88702680174484,-0.654138991487552,0.654138991487552,1,2
103,104,24-Oct-2025,FST,21,25,24,10.9,34.9,0,0,0,163.8,139.2,62.6,24,0,0,24,1,24,1,24,1,1.75324344903185,-0.0546039173441186,-0.660809029628701,0.660809029628701,1,1
104,105,29-Oct-2025,FST,23,26,24,15.9,39.9,0,0,-3,167.8,135.2,64.2,24,24,1,0,0,24,1,24,1,2.69457294112027,2.72873334630546,-0.577547609365724,0.577547609365724,1,1
105,106,31-Oct-2025,FST,21,26,24,12.8,36.8,0,0,-2,164.6,139.4,64.2,24,24,1,24,1,24,1,24,1,2.2027276771452,0.217024443555084,0.0700684992587001,0.0700684992587001,1,2
106,107,12-Nov-2025,FST,22,26,24,11.1,35.1,0,0,0,166.2,138.8,64.2,24,24,1,24,1,24,1,24,1,2.07596708875853,1.04532025718421,0.236975055020667,0.236975055020667,1,1
109,110,03-Dec-2025,FST,22,26,24,12.3,36.3,0,0,0,166.2,136.4,64.2,24,0,0,0,0,24,1,24,1,2.67226024135726,1.7294140775779,-0.548168321098019,0.548168321098019,1,1
110,111,05-Dec-2025,FST,21,26,24,12.9,36.9,0,0,-2,164.6,139.2,64.2,24,24,1,24,1,24,1,24,1,2.2524187731951,0.274032261921229,0.00463988458213754,0.00463988458213754,1,1
111,112,10-Dec-2025,MT,21,20,24,7.2,31.2,0,0,0,164.6,146.6,54.6,25,25,1,25,1,25,1,25,1,-3.4087053552395,-1.83525701762596,-0.477617658275392,0.477617658275392,1,1
112,113,12-Dec-2025,FST,22,25,24,11.2,35.2,0,0,0,165.4,138.6,62.6,24,24,1,24,1,24,1,24,1,1.62648286064518,0.773691896285008,-0.493902473866734,0.493902473866734,1,2
113,114,17-Dec-2025,FST,23,26,24,15.1,39.1,0,0,-3,167.8,136.8,64.2,24,24,1,24,1,24,1,24,1,2.29704417272112,2.27267079937633,-0.0541186919532604,0.0541186919532604,1,1
114,115,19-Dec-2025,FST,23,28,24,15.2,39.2,0,0,-2,167.8,134.6,67.4,24,24,1,0,0,24,1,24,1,4.11783075413279,2.89975680140388,0.193871975234654,0.193871975234654,1,1
115,116,06-Jan-2026,FST,22,26,24,12.2,36.2,0,0,-1,166.2,138.6,64.2,24,24,1,24,1,24,1,24,1,2.12565818480843,1.10232807555036,0.171546440344104,0.171546440344104,1,2
116,117,08-Jan-2026,FST,23,26,24,13.4,37.4,0,0,-2,167.8,138.2,64.2,24,24,1,24,1,24,1,24,1,1.94920650037187,1.87361607081336,0.403881610782631,0.403881610782631,1,1
117,118,13-Jan-2026,FST,21,25,24,11.3,35.3,0,0,-1,163.8,140.4,62.6,24,24,1,24,1,24,1,24,1,1.45509687273248,-0.396650827540965,-0.268237341569354,0.268237341569354,1,1
118,119,15-Jan-2026,MT,21,21,24,9.8,33.8,0,0,-3,163.8,147.4,56.2,25,25,1,25,1,25,1,25,1,-2.83246053873949,-2.39192447035588,0.086353314850049,0.086353314850049,1,1
119,120,21-Jan-2026,FST,21,26,24,13.5,37.5,0,0,-2,164.6,138,64.2,24,24,1,24,1,24,1,24,1,2.55056534949446,0.616079172118068,-0.387931803477201,0.387931803477201,1,1
120,121,23-Jan-2026,FST,23,26,24,13.9,37.9,0,0,-2,167.8,137.2,64.2,24,24,1,24,1,24,1,24,1,2.19766198062133,2.15865516264406,0.0767385373998463,0.0767385373998463,1,1
121,122,27-Jan-2026,MT,20,20,24,7.5,31.5,0,0,-2,163,150,54.6,25,25,1,25,1,25,1,25,1,-3.97762011155135,-3.46166228838106,0.271476391434443,0.271476391434443,1,1
122,123,29-Jan-2026,FST,22,26,24,13.7,37.7,0,0,-2,166.2,137.6,64.2,24,24,1,24,1,24,1,24,1,2.3741136650579,1.38736716738106,-0.15559663303868,0.15559663303868,1,2
123,124,03-Feb-2026,FST,23,25,24,12.6,36.6,0,0,-2,167,139.8,62.6,24,24,1,24,1,24,1,24,1,1.05250240780946,1.08891734461887,0.26186161398425,0.26186161398425,1,1
125,126,10-Feb-2026,FST,21,25,24,12.2,36.2,0,0,-2,163.8,140.6,62.6,24,24,1,24,1,24,1,24,1,1.40540577668259,-0.453658645907102,-0.2028087268928,0.2028087268928,1,2
126,127,12-Feb-2026,FST,23,25,24,13.1,37.1,0,0,-2,167,138.8,62.6,24,24,1,24,1,24,1,24,1,1.30095788805893,1.37395643644957,-0.0652814593985353,0.0652814593985353,1,2
