SessionID,SessionIndex,Block,ComparatorCondition,RightEyeRate,ComparatorRate,Difference
Jim_016,16,nonStim,MonoL,0.782608695652174,0.853448275862069,-0.070839580209895
Jim_017,17,nonStim,MonoL,0.891666666666667,0.865546218487395,0.0261204481792717
Jim_018,18,nonStim,MonoL,0.804511278195489,0.874074074074074,-0.0695627958785854
Jim_019,19,nonStim,MonoL,0.867768595041322,0.833333333333333,0.0344352617079889
Jim_020,20,nonStim,MonoL,0.776,0.888888888888889,-0.112888888888889
Jim_021,21,nonStim,MonoL,0.8125,0.888888888888889,-0.0763888888888888
Jim_022,22,nonStim,MonoL,0.783333333333333,0.833333333333333,-0.05
Jim_023,23,nonStim,MonoL,0.823529411764706,0.897959183673469,-0.0744297719087635
Jim_024,24,nonStim,MonoL,0.733333333333333,0.85,-0.116666666666667
Jim_025,25,nonStim,MonoL,0.808333333333333,0.826446280991736,-0.0181129476584022
Jim_026,26,nonStim,MonoL,0.783333333333333,0.691666666666667,0.0916666666666667
Jim_027,27,nonStim,MonoL,0.685950413223141,0.685950413223141,0
Jim_028,28,nonStim,MonoL,0.883333333333333,0.88034188034188,0.00299145299145298
Jim_029,29,nonStim,MonoL,0.644628099173554,0.830508474576271,-0.185880375402718
Jim_030,30,nonStim,MonoL,0.743055555555556,0.847222222222222,-0.104166666666667
Jim_031,31,nonStim,MonoL,0.691666666666667,0.85,-0.158333333333333
Jim_032,32,nonStim,MonoL,0.651612903225806,0.894736842105263,-0.243123938879457
Jim_033,33,nonStim,MonoL,0.762295081967213,0.808333333333333,-0.0460382513661203
Jim_034,34,nonStim,MonoL,0.866666666666667,0.868852459016393,-0.00218579234972671
Jim_035,35,nonStim,MonoL,0.831521739130435,0.885869565217391,-0.0543478260869565
Jim_036,36,nonStim,MonoL,0.668639053254438,0.840236686390533,-0.171597633136095
Jim_037,37,nonStim,MonoL,0.716666666666667,0.851239669421488,-0.134573002754821
Jim_038,38,nonStim,MonoL,0.821428571428571,0.821428571428571,0
Jim_039,39,nonStim,MonoL,0.701388888888889,0.756944444444444,-0.0555555555555556
Jim_040,40,nonStim,MonoL,0.699186991869919,0.776859504132231,-0.0776725122623126
Jim_041,41,nonStim,MonoL,0.752,0.902439024390244,-0.150439024390244
Jim_042,42,nonStim,MonoL,0.605769230769231,0.801801801801802,-0.196032571032571
Jim_043,43,nonStim,MonoL,0.684210526315789,0.82962962962963,-0.14541910331384
Jim_044,44,nonStim,MonoL,0.669421487603306,0.644628099173554,0.0247933884297521
Jim_045,45,nonStim,MonoL,0.808333333333333,0.816666666666667,-0.0083333333333333
Jim_046,46,nonStim,MonoL,0.8,0.745762711864407,0.0542372881355933
Jim_047,47,nonStim,MonoL,0.808333333333333,0.8,0.0083333333333333
Jim_048,48,nonStim,MonoL,0.841666666666667,0.851239669421488,-0.00957300275482098
Jim_049,49,nonStim,MonoL,0.828767123287671,0.854166666666667,-0.0253995433789954
Jim_050,50,nonStim,MonoL,0.724409448818898,0.83739837398374,-0.112988925164842
Jim_051,51,nonStim,MonoL,0.783333333333333,0.858333333333333,-0.075
Jim_052,52,nonStim,MonoL,0.760330578512397,0.801652892561983,-0.0413223140495868
Jim_053,53,nonStim,MonoL,0.75,0.75,0
Jim_054,54,nonStim,MonoL,0.710743801652893,0.821138211382114,-0.110394409729221
Jim_055,55,nonStim,MonoL,0.781954887218045,0.878787878787879,-0.0968329915698337
Jim_056,56,nonStim,MonoL,0.736842105263158,0.69047619047619,0.0463659147869674
Jim_057,57,nonStim,MonoL,0.908333333333333,0.808333333333333,0.1
Jim_058,58,nonStim,MonoL,0.768,0.850393700787402,-0.0823937007874016
Jim_059,59,nonStim,MonoL,0.761904761904762,0.854166666666667,-0.0922619047619048
Jim_060,60,nonStim,MonoL,0.644628099173554,0.858333333333333,-0.21370523415978
Jim_061,61,nonStim,MonoL,0.756944444444444,0.819444444444444,-0.0625
Jim_062,62,nonStim,MonoL,0.702479338842975,0.825,-0.122520661157025
Jim_063,63,nonStim,MonoL,0.702479338842975,0.857142857142857,-0.154663518299882
Jim_064,64,nonStim,MonoL,0.741666666666667,0.833333333333333,-0.0916666666666667
Jim_065,65,nonStim,MonoL,0.711538461538462,0.855670103092783,-0.144131641554322
Jim_066,66,nonStim,MonoL,0.611570247933884,0.768595041322314,-0.15702479338843
Jim_067,67,nonStim,MonoL,0.729508196721312,0.833333333333333,-0.103825136612022
Jim_068,68,nonStim,MonoL,0.78021978021978,0.825581395348837,-0.045361615129057
Jim_069,69,nonStim,MonoL,0.704918032786885,0.75609756097561,-0.0511795281887245
Jim_070,70,nonStim,MonoL,0.840336134453782,0.756521739130435,0.0838143953233468
Jim_071,71,nonStim,MonoL,0.806451612903226,0.83739837398374,-0.0309467610805141
Jim_072,72,nonStim,MonoL,0.770833333333333,0.856164383561644,-0.0853310502283104
Jim_073,73,nonStim,MonoL,0.864661654135338,0.734848484848485,0.129813169286853
Jim_074,74,nonStim,MonoL,0.834710743801653,0.875,-0.0402892561983471
Jim_075,75,nonStim,MonoL,0.870967741935484,0.829268292682927,0.0416994492525571
Jim_076,76,nonStim,MonoL,0.783333333333333,0.867768595041322,-0.084435261707989
Jim_077,77,nonStim,MonoL,0.819672131147541,0.867768595041322,-0.0480964638937813
Jim_078,78,nonStim,MonoL,0.8,0.866666666666667,-0.0666666666666667
