SourceFile,Monkey,SessionID,SessionIndex,Block,ConditionIndex,ConditionName,SignedCoherence,AbsCoherence,TowardCount,CorrectCount,TotalTrials,CorrectRate
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,2,MonoL,0.0909090909090909,0.0909090909090909,10,10,12,0.833333333333333
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,2,MonoL,0.181818181818182,0.181818181818182,12,12,12,1
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,2,MonoL,0.363636363636364,0.363636363636364,12,12,12,1
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,2,MonoL,0.454545454545455,0.454545454545455,12,12,12,1
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,2,MonoL,0.636363636363636,0.636363636363636,11,11,11,1
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,2,MonoL,1,1,12,12,12,1
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,3,MonoR,-1,1,1,11,12,0.916666666666667
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,3,MonoR,-0.636363636363636,0.636363636363636,0,12,12,1
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,3,MonoR,-0.454545454545455,0.454545454545455,5,6,11,0.545454545454545
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,3,MonoR,-0.363636363636364,0.363636363636364,4,7,11,0.636363636363636
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,3,MonoR,-0.181818181818182,0.181818181818182,8,4,12,0.333333333333333
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,3,MonoR,-0.0909090909090909,0.0909090909090909,6,6,12,0.5
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,3,MonoR,0.0909090909090909,0.0909090909090909,9,9,12,0.75
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,3,MonoR,0.181818181818182,0.181818181818182,11,11,12,0.916666666666667
