SourceFile,Monkey,SessionID,SessionIndex,Block,ConditionIndex,ConditionName,CorrectCount,TotalTrials,CorrectRate,NCoherenceLevels
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_019,19,nonStim,2,MonoL,100,120,0.833333333333333,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_019,19,nonStim,3,MonoR,105,121,0.867768595041322,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_019,19,nonStim,4,Bino,99,120,0.825,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_020,20,nonStim,1,Combined,118,126,0.936507936507937,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_020,20,nonStim,2,MonoL,112,126,0.888888888888889,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_020,20,nonStim,3,MonoR,97,125,0.776,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_020,20,nonStim,4,Bino,108,124,0.870967741935484,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_021,21,nonStim,1,Combined,136,144,0.944444444444444,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_021,21,nonStim,2,MonoL,128,144,0.888888888888889,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_021,21,nonStim,3,MonoR,117,144,0.8125,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_021,21,nonStim,4,Bino,136,145,0.937931034482759,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_022,22,nonStim,1,Combined,108,121,0.892561983471074,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_022,22,nonStim,2,MonoL,100,120,0.833333333333333,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_022,22,nonStim,3,MonoR,94,120,0.783333333333333,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_022,22,nonStim,4,Bino,100,120,0.833333333333333,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_023,23,nonStim,1,Combined,96,100,0.96,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_023,23,nonStim,2,MonoL,88,98,0.897959183673469,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_023,23,nonStim,3,MonoR,84,102,0.823529411764706,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_023,23,nonStim,4,Bino,89,98,0.908163265306122,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_024,24,nonStim,1,Combined,117,120,0.975,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_024,24,nonStim,2,MonoL,102,120,0.85,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_024,24,nonStim,3,MonoR,88,120,0.733333333333333,12
