SourceRow,OriginalRecIdx,Date,Monkey,ROI,StimElec,NeuroType,Z3D_v_Z2D,P_MonoL,P_MonoR,Combined_AI,CombinedCuePreference,SpeedRank_2D,SpeedDegPerSec_2D,SpeedLabel_2D,IsMatchedSlowSpeed,T_L,T_R,A_L,A_R,R_L,R_R,L_L,L_R,N_T_L,N_T_R,N_A_L,N_A_R,N_R_L,N_R_R,N_L_L,N_L_R,TDI_Numerator,TDI_Denominator,TDI,ADI_Numerator,ADI_Denominator,ADI,Valid_TDI,Valid_ADI,Complete_AllEightMetrics
188,191,27-Mar-2025,Clay,FST,11,3D,1.66611815916373,0.00684506868061994,0.0362922990631533,0.473742433965768,Toward,1,4.166667,slow (~4.2 deg/s),1,18.9177733646657,13.4123536611932,9.09318853122473,11.2120815894619,12.8304297499154,7.84428354634652,9.97310467484286,8.92745150774594,NaN,NaN,NaN,NaN,5,6,6,6,10.5722457681975,54.0880082835202,0.195463765513043,2.48788189949721,38.122658341876,0.0652599269753542,1,1,1
193,196,17-Apr-2025,Clay,FST,8,3D,1.64468744946149,0.00327531306985624,0.000231002394011379,0.832076311371293,Toward,1,4.166667,slow (~4.2 deg/s),1,14.2672633887793,19.4247615156471,4.97150804898311,7.65382092104821,4.12463685269702,6.92173957427314,8.29054277117194,10.1022143473271,NaN,NaN,NaN,NaN,5,4,4,6,19.4651737044023,47.9188761044505,0.406210981701102,-2.58695337541377,27.8376113154764,-0.0929301492896247,1,1,1
198,201,07-May-2025,Clay,FST,8,3D,2.56406045812627,1.34022845970631e-16,6.39362690898944e-26,0.906222056060747,Toward,1,4.166667,slow (~4.2 deg/s),1,96.8541047689084,81.010036353644,13.4502169050197,20.1102234195467,38.9764381640111,34.9496353500489,26.928395595373,39.3695942230398,NaN,NaN,NaN,NaN,6,6,7,7,99.5181087355015,256.210173509603,0.388423720152437,-28.3175906208554,95.4384712699883,-0.296710438086829,1,1,1
201,204,13-May-2025,Clay,FST,8,3D,3.34833912812489,2.70101612348351e-14,3.2928171570811e-18,0.839348329305942,Toward,1,4.166667,slow (~4.2 deg/s),1,45.1842237731795,43.5166178109308,10.5281155614388,13.4732324951584,27.3726488792443,23.5601545939049,17.9611169470119,28.0471969525313,NaN,NaN,NaN,NaN,8,8,8,8,33.2809957523348,144.120687415886,0.230924486616529,-17.5199234843196,65.522619597514,-0.267387408988519,1,1,1
204,207,16-May-2025,Clay,FST,3,3D,6.10314264102914,0.00767819281947096,1.02061770674584e-05,0.680606067337311,Toward,1,4.166667,slow (~4.2 deg/s),1,64.8676887777909,77.6568789323987,50.7982589552984,56.6512454261944,68.716128701104,65.4557945707397,63.4254898253411,69.8754423160904,NaN,NaN,NaN,NaN,9,10,9,9,3.93299669299519,281.116138727384,0.0139906471069214,-21.4317800145879,236.330788777574,-0.0906855180632379,1,1,1
205,208,27-May-2025,Clay,FST,3,3D,2.73638102599388,5.81597350392906e-05,0.00959227852876393,-0.792630226033955,Away,1,4.166667,slow (~4.2 deg/s),1,11.5988032363431,15.8217196504619,24.8995647118083,25.927343184741,13.2097528236044,18.0821479122814,17.4377332923782,17.297408903076,NaN,NaN,NaN,NaN,6,6,8,6,-3.08663883987539,57.9276846134854,-0.053284346862309,15.3070266918897,86.3467891012089,0.177273837871933,1,1,1
207,210,29-May-2025,Clay,FST,13,3D,1.9562570592772,1.99989988656722e-07,6.89533952095678e-12,-0.135648406037732,Away,1,4.166667,slow (~4.2 deg/s),1,32.3886891055251,28.3718426668753,35.7326433455894,48.0639398928168,28.7981066687257,26.9480598662096,19.4285395293164,27.4686667115262,NaN,NaN,NaN,NaN,8,8,8,8,4.49375839214851,117.027305152652,0.0383992298744877,37.4199838428801,130.173182633932,0.287463078690417,1,1,1
214,217,08-Aug-2025,Clay,FST,7,3D,3.04633316997463,3.91556616019224e-12,1.9420240965506e-07,-0.645189686656476,Away,1,4.166667,slow (~4.2 deg/s),1,7.87243945305943,19.1611390105515,32.3114801123614,20.1975810009126,9.37776781379189,7.69940237570408,12.5078514272401,17.9654889326479,NaN,NaN,NaN,NaN,9,9,9,9,-0.309678282828813,54.3768352100507,-0.00569504057440204,32.3018073103299,72.7163149162182,0.444216780615838,1,1,1
216,219,14-Aug-2025,Clay,FST,5,3D,4.69699903578292,2.9571461827701e-07,4.68677336306616e-07,0.794472044137259,Toward,1,4.166667,slow (~4.2 deg/s),1,43.5446955932481,41.9380260314676,25.3670073561121,19.0176711276225,29.3967726506008,18.7400768891484,21.60086078473,25.0900495575722,NaN,NaN,NaN,NaN,6,7,8,7,30.9958994165427,139.969543832889,0.221447456123377,4.04374080985617,84.725616157613,0.0477274877804807,1,1,1
233,236,31-Oct-2025,Clay,FST,2,3D,1.46251925496241,1.8493304133705e-11,0.00647975767992762,0.796946223793108,Toward,1,4.166667,slow (~4.2 deg/s),1,69.0533739510085,63.1597033107368,22.2294596227637,29.4470784731518,40.3659237252232,35.7190227157587,25.1913397809192,40.2327785508614,NaN,NaN,NaN,NaN,6,6,6,6,51.6143749856607,212.81177953783,0.242535329095755,-9.23382440076235,112.586900592593,-0.0820150865878779,1,1,1
