SessionID,SessionIndex,Block,ComparatorCondition,LeftEyeRate,ComparatorRate,Difference
Clay_048,48,nonStim,MonoR,0.8125,0.859649122807018,-0.0471491228070176
Clay_049,49,nonStim,MonoR,0.683333333333333,0.777777777777778,-0.0944444444444444
Clay_050,50,nonStim,MonoR,0.75609756097561,0.796875,-0.0407774390243902
Clay_051,51,nonStim,MonoR,0.845070422535211,0.802816901408451,0.0422535211267605
Clay_052,52,nonStim,MonoR,0.73134328358209,0.691729323308271,0.0396139602738189
Clay_053,53,nonStim,MonoR,0.675925925925926,0.787037037037037,-0.111111111111111
Clay_054,54,nonStim,MonoR,0.784810126582278,0.8,-0.0151898734177216
Clay_055,55,nonStim,MonoR,0.75,0.808695652173913,-0.058695652173913
Clay_056,56,nonStim,MonoR,0.754545454545455,0.805555555555556,-0.0510101010101011
Clay_057,57,nonStim,MonoR,0.570093457943925,0.60952380952381,-0.0394303515798844
Clay_058,58,nonStim,MonoR,0.658333333333333,0.75,-0.0916666666666667
Clay_059,59,nonStim,MonoR,0.808,0.838709677419355,-0.0307096774193548
Clay_060,60,nonStim,MonoR,0.75,0.786324786324786,-0.0363247863247863
Clay_061,61,nonStim,MonoR,0.781512605042017,0.760330578512397,0.0211820265296201
Clay_062,62,nonStim,MonoR,0.816326530612245,0.873684210526316,-0.0573576799140709
Clay_063,63,nonStim,MonoR,0.833333333333333,0.802083333333333,0.03125
Clay_064,64,nonStim,MonoR,0.776785714285714,0.905172413793103,-0.128386699507389
Clay_065,65,nonStim,MonoR,0.816666666666667,0.9,-0.0833333333333334
Clay_066,66,nonStim,MonoR,0.710280373831776,0.720720720720721,-0.010440346888945
Clay_067,67,nonStim,MonoR,0.8125,0.835443037974684,-0.0229430379746836
Clay_068,68,nonStim,MonoR,0.769230769230769,0.79047619047619,-0.0212454212454212
Clay_069,69,nonStim,MonoR,0.852272727272727,0.802325581395349,0.0499471458773785
Clay_070,70,nonStim,MonoR,0.68,0.75,-0.07
Clay_071,71,nonStim,MonoR,0.7375,0.8125,-0.075
Clay_072,72,nonStim,MonoR,0.771084337349398,0.876543209876543,-0.105458872527146
Clay_073,73,nonStim,MonoR,0.761061946902655,0.842105263157895,-0.0810433162552399
Clay_074,74,nonStim,MonoR,0.694444444444444,0.80188679245283,-0.107442348008386
Clay_075,75,nonStim,MonoR,0.690265486725664,0.769230769230769,-0.0789652825051056
Clay_076,76,nonStim,MonoR,0.572916666666667,0.642857142857143,-0.0699404761904763
Clay_077,77,nonStim,MonoR,0.661157024793388,0.69672131147541,-0.0355642866820214
Clay_078,78,nonStim,MonoR,0.761904761904762,0.828571428571429,-0.0666666666666668
Clay_079,79,nonStim,MonoR,0.741071428571429,0.824074074074074,-0.0830026455026455
Clay_080,80,nonStim,MonoR,0.788617886178862,0.804878048780488,-0.0162601626016261
Clay_081,81,nonStim,MonoR,0.782051282051282,0.846153846153846,-0.0641025641025641
Clay_082,82,nonStim,MonoR,0.835616438356164,0.851351351351351,-0.0157349129951869
Clay_083,83,nonStim,MonoR,0.752475247524752,0.76,-0.00752475247524753
Clay_084,84,nonStim,MonoR,0.752808988764045,0.872093023255814,-0.119284034491769
Clay_085,85,nonStim,MonoR,0.763440860215054,0.857142857142857,-0.0937019969278033
Clay_086,86,nonStim,MonoR,0.775862068965517,0.857142857142857,-0.0812807881773399
Clay_087,87,nonStim,MonoR,0.80188679245283,0.785046728971963,0.0168400634808676
Clay_088,88,nonStim,MonoR,0.730769230769231,0.843137254901961,-0.11236802413273
Clay_089,89,nonStim,MonoR,0.813186813186813,0.857142857142857,-0.0439560439560439
Clay_090,90,nonStim,MonoR,0.767123287671233,0.905405405405405,-0.138282117734173
Clay_091,91,nonStim,MonoR,0.888888888888889,0.878048780487805,0.010840108401084
Clay_092,92,nonStim,MonoR,0.743801652892562,0.752066115702479,-0.00826446280991744
