SourceRow,Date,Monkey,ROI,Tetrode,Unit,NeuroType,Z3D_v_Z2D,Combined_AI,CombinedCuePreference,SpeedRank_2D,SpeedCode_2D,SpeedLabel_2D,IsMatchedSlowSpeed,T_L,T_R,A_L,A_R,R_L,R_R,L_L,L_R,N_T_L,N_T_R,N_A_L,N_A_R,N_R_L,N_R_R,N_L_L,N_L_R,TDI_Numerator,TDI_Denominator,TDI,ADI_Numerator,ADI_Denominator,ADI,Valid_TDI,Valid_ADI,Complete_AllEightMetrics
455,7/24/2020,Jim,FST,2,3,3D,2.75431384554959,-0.397196565902025,Away,1,7041,slow (~4.2 deg/s),1,21.9810762561186,21.1759299887494,30.5840145379667,28.9655154219041,12.7233261882582,10.1325038386932,16.2792203687062,17.3853974788717,24,24,24,23,7,7,7,8,13.0482825777381,73.2657299119978,0.178095305860064,33.1378057524714,85.9612541672702,0.385497001800244,1,1,1
455,7/24/2020,Jim,FST,2,3,3D,2.75431384554959,-0.397196565902025,Away,2,7125,fast (~12.6 deg/s),0,21.9810762561186,21.1759299887494,30.5840145379667,28.9655154219041,31.8572092163409,35.9248044520196,34.3859451270551,37.5471284406232,24,24,24,23,7,7,7,7,-26.2473314120961,112.561343901832,-0.233182463022005,-10.761219619204,129.860279538946,-0.0828676763781079,1,1,1
476,7/28/2020,Jim,FST,5,2,3D,2.69883104221093,0.283180929911274,Toward,1,7041,slow (~4.2 deg/s),1,16.1274697769527,17.8958949822749,13.6987654281942,10.5323354383676,8.08668624728131,6.69823644053112,13.5439611960544,9.3697201428951,20,22,21,21,8,8,8,7,16.5669583690513,51.4797711494041,0.321814918737125,3.98890322997631,44.4732985031473,0.0896920931037761,1,1,1
476,7/28/2020,Jim,FST,5,2,3D,2.69883104221093,0.283180929911274,Toward,2,7125,fast (~12.6 deg/s),0,16.1274697769527,17.8958949822749,13.6987654281942,10.5323354383676,13.0812240637174,7.80942222522139,14.8060271151279,10.1039040478528,20,22,21,21,8,7,7,8,10.8382366476574,57.208492870798,0.189451532522189,1.61565152621247,46.8465502069111,0.0344881644235591,1,1,1
478,7/28/2020,Jim,FST,6,2,3D,3.26779473077637,0.318363140377069,Toward,1,7041,slow (~4.2 deg/s),1,9.74608819673362,9.74522704824201,7.97411969297753,7.10264538960169,3.28013800390651,4.54524589825646,6.88853953601286,5.0462725040539,20,22,21,21,8,8,8,7,11.1649047370152,27.817725752936,0.401359364750974,3.6429796483099,26.5105505168485,0.137416220232569,1,1,1
478,7/28/2020,Jim,FST,6,2,3D,3.26779473077637,0.318363140377069,Toward,2,7125,fast (~12.6 deg/s),0,9.74608819673362,9.74522704824201,7.97411969297753,7.10264538960169,5.52479370214597,5.06997154658506,5.62705996441412,6.17379626695521,20,22,21,21,8,7,7,8,7.79272527587445,31.1899052140768,0.249847674187782,4.37973357158004,25.7737965935784,0.169929701884559,1,1,1
488,8/4/2020,Jim,FST,4,2,3D,3.61542839550591,0.516818496799403,Toward,1,7041,slow (~4.2 deg/s),1,43.5518077023293,53.340370772827,24.7028271163281,30.5781967277686,22.7380891118647,22.3397756903523,21.3433022472294,28.5617700191058,22,23,23,23,8,9,8,8,45.5923193441859,148.192037606127,0.307657011001925,11.5979459065149,98.9641017816784,0.117193464071455,1,1,1
488,8/4/2020,Jim,FST,4,2,3D,3.61542839550591,0.516818496799403,Toward,2,7125,fast (~12.6 deg/s),0,43.5518077023293,53.340370772827,24.7028271163281,30.5781967277686,28.0796353899752,30.3034484595645,27.8265915279683,39.4548702287968,22,23,23,23,8,8,8,8,29.3576728563843,164.426684093928,0.178545672304708,-2.84901614343615,113.411063831629,-0.0251211482123632,1,1,1
503,8/11/2020,Jim,FST,1,5,3D,2.84569432408953,0.476328139889235,Toward,1,7041,slow (~4.2 deg/s),1,6.48765315898391,5.4118056872663,2.35733183267567,2.16519411825191,1.43371251662784,2.00938951156342,1.28983848097137,2.16779048124437,21,21,21,21,7,7,7,7,8.297955848378,15.5009618441224,0.535318771300916,1.2232979583928,7.82175394346237,0.156396885818079,1,1,1
503,8/11/2020,Jim,FST,1,5,3D,2.84569432408953,0.476328139889235,Toward,2,7125,fast (~12.6 deg/s),0,6.48765315898391,5.4118056872663,2.35733183267567,2.16519411825191,1.29475767492099,0.433656613214525,0.866943885816358,1.15545283022672,21,21,21,21,7,7,7,7,9.4492483411025,14.3496693513979,0.658499377909496,3.2219254518967,5.82312644995847,0.553298211808483,1,1,1
523,8/27/2020,Jim,FST,1,3,3D,4.70631403270727,-0.499091528831843,Away,1,7041,slow (~4.2 deg/s),1,26.2264369165183,22.5907062907162,31.5315557166332,31.9324618730872,17.1348912106006,14.0326572618736,25.9535465304535,20.2413088430285,23,23,23,23,6,6,6,6,11.4409431536054,86.1933432608637,0.132735809063346,23.4778137973933,103.450221382048,0.226947931901357,1,1,1
523,8/27/2020,Jim,FST,1,3,3D,4.70631403270727,-0.499091528831843,Away,2,7125,fast (~12.6 deg/s),0,26.2264369165183,22.5907062907162,31.5315557166332,31.9324618730872,23.6871388189092,22.0123316365524,34.6757382573557,27.9633442618961,23,23,23,23,6,6,6,6,-2.83333987357064,100.46762628804,-0.0282015210098374,6.77594769581233,120.152087483628,0.0563947563269394,1,1,1
528,8/27/2020,Jim,FST,2,4,3D,5.5023216218801,0.430968371030569,Toward,1,7041,slow (~4.2 deg/s),1,27.3594271912782,27.9636738574931,16.1046303408785,12.2290265558769,8.3922767255155,10.3225343061553,10.3636488724776,10.4635276789505,23,23,23,23,6,6,6,6,36.4672966443053,74.1789054532373,0.491612762705085,7.64747371812244,49.0198400753882,0.156007724757186,1,1,1
